iter	Passed	Remaining
0	129	128962
1	130	64932
2	131	43547
3	131	32827
4	132	26412
5	133	22130
6	134	19069
7	135	16774
8	136	14982
9	137	13563
10	137	12404
11	138	11427
12	139	10605
13	140	9896
14	141	9287
15	142	8749
16	143	8318
17	145	7960
18	146	7587
19	147	7241
20	148	6928
21	149	6642
22	150	6377
23	150	6135
24	151	5911
25	152	5706
26	153	5514
27	153	5339
28	154	5174
29	155	5019
30	155	4875
31	156	4740
32	157	4614
33	158	4496
34	159	4384
35	159	4281
36	160	4182
37	161	4088
38	162	3998
39	163	3912
40	163	3832
41	164	3754
42	165	3680
43	166	3608
44	166	3541
45	167	3479
46	168	3417
47	169	3357
48	170	3300
49	170	3244
50	171	3191
51	172	3143
52	173	3094
53	174	3048
54	174	3006
55	175	2963
56	176	2920
57	177	2879
58	178	2840
59	178	2801
60	179	2763
61	180	2727
62	181	2692
63	181	2659
64	182	2626
65	183	2593
66	184	2563
67	185	2535
68	185	2508
69	186	2481
70	187	2455
71	188	2430
72	189	2407
73	190	2382
74	191	2357
75	191	2332
76	192	2308
77	193	2285
78	194	2262
79	194	2241
80	195	2219
81	196	2198
82	196	2174
83	197	2154
84	198	2134
85	199	2116
86	200	2099
87	200	2082
88	201	2067
89	202	2051
90	203	2037
91	204	2022
92	205	2008
93	206	1993
94	207	1977
95	208	1963
96	209	1948
97	210	1933
98	211	1920
99	211	1906
100	212	1893
101	213	1880
102	214	1866
103	215	1854
104	216	1843
105	219	1852
106	227	1901
107	230	1904
108	233	1909
109	236	1910
110	238	1907
111	240	1903
112	241	1898
113	243	1890
114	244	1882
115	247	1883
116	248	1874
117	249	1864
118	250	1855
119	251	1847
120	253	1838
121	254	1827
122	255	1818
123	256	1810
124	257	1801
125	258	1792
126	259	1782
127	260	1773
128	261	1765
129	262	1757
130	263	1747
131	264	1738
132	265	1729
133	266	1720
134	267	1711
135	268	1702
136	268	1694
137	269	1684
138	270	1676
139	271	1667
140	272	1659
141	273	1649
142	273	1641
143	274	1633
144	275	1625
145	281	1648
146	288	1674
147	292	1685
148	295	1687
149	298	1690
150	300	1688
151	302	1686
152	304	1685
153	306	1681
154	308	1680
155	310	1677
156	311	1672
157	312	1667
158	313	1660
159	314	1653
160	315	1644
161	316	1638
162	317	1632
163	318	1625
164	320	1619
165	321	1616
166	322	1610
167	323	1603
168	324	1597
169	325	1590
170	326	1583
171	327	1577
172	328	1570
173	329	1563
174	330	1556
175	331	1549
176	331	1543
177	332	1537
178	333	1530
179	334	1523
180	335	1517
181	336	1512
182	337	1506
183	338	1500
184	339	1494
185	340	1488
186	341	1482
187	341	1476
188	342	1470
189	343	1464
190	344	1458
191	345	1453
192	346	1448
193	347	1442
194	348	1436
195	348	1431
196	349	1425
197	351	1423
198	361	1453
199	363	1453
200	366	1456
201	368	1456
202	370	1455
203	372	1454
204	374	1452
205	376	1450
206	377	1447
207	379	1444
208	380	1441
209	382	1439
210	384	1436
211	385	1432
212	386	1427
213	387	1422
214	388	1417
215	389	1413
216	390	1409
217	391	1404
218	392	1399
219	393	1394
220	394	1389
221	395	1385
222	396	1381
223	397	1377
224	398	1372
225	399	1367
226	400	1362
227	401	1357
228	401	1353
229	402	1348
230	403	1343
231	404	1339
232	405	1334
233	406	1329
234	407	1325
235	407	1320
236	408	1316
237	409	1312
238	417	1329
239	422	1337
240	425	1339
241	427	1339
242	429	1338
243	431	1337
244	433	1335
245	435	1333
246	436	1331
247	437	1327
248	439	1325
249	441	1324
250	442	1321
251	443	1317
